Point:60	Drone:3	minCost:1316.54
cost 95.159 sec
The 1-th drone path:center	57	15	10	41	55	39	36	47	48	18	43	44	20	4	11	28	56	23	21	3	center
The 2-th drone path:center	7	12	52	30	1	24	37	50	35	17	58	59	29	27	0	16	8	51	26	49	center
The 3-th drone path:center	32	42	14	13	5	46	25	54	31	45	19	2	40	38	6	53	9	34	22	33	center
The calculate state:
times:838,currentCost:6043.08
times:839,currentCost:5916.81
times:840,currentCost:6430.18
times:841,currentCost:5673.05
times:842,currentCost:5305.63
times:843,currentCost:6156.28
times:844,currentCost:5706.82
times:845,currentCost:5944.36
times:846,currentCost:5440.76
times:847,currentCost:6029.72
times:848,currentCost:5597.3
times:849,currentCost:6275.82
times:850,currentCost:5769.83
times:851,currentCost:6058.33
times:852,currentCost:5535.9
times:853,currentCost:4818.13
times:854,currentCost:5802.72
times:855,currentCost:5918.65
times:856,currentCost:6008.7
times:857,currentCost:5896.47
times:858,currentCost:6274.83
times:859,currentCost:5955.72
times:860,currentCost:5322.97
times:861,currentCost:6175.29
times:862,currentCost:6149.46
times:863,currentCost:5576.88
times:864,currentCost:5976.69
times:865,currentCost:5579.13
times:866,currentCost:5806.35
times:867,currentCost:6353.18
times:868,currentCost:6225.34
times:869,currentCost:5642.52
times:870,currentCost:5831.4
times:871,currentCost:5957.05
times:872,currentCost:6135.17
times:873,currentCost:6010.92
times:874,currentCost:6260.47
times:875,currentCost:6158.87
times:876,currentCost:5677.84
times:877,currentCost:6049.99
times:878,currentCost:5665.04
times:879,currentCost:5970.69
times:880,currentCost:6055.08
times:881,currentCost:6336.02
times:882,currentCost:5826.08
times:883,currentCost:6087.16
times:884,currentCost:5592.31
times:885,currentCost:6087.79
times:886,currentCost:6427.19
times:887,currentCost:5782.57
times:888,currentCost:5721.07
times:889,currentCost:5282.08
times:890,currentCost:5725.83
times:891,currentCost:5430.99
times:892,currentCost:5933.89
times:893,currentCost:5664.75
times:894,currentCost:6554.64
times:895,currentCost:5667.98
times:896,currentCost:6078.75
times:897,currentCost:5540.98
times:898,currentCost:6117.3
times:899,currentCost:6125.76
times:900,currentCost:6086.8
times:901,currentCost:5553.85
times:902,currentCost:5860.42
times:903,currentCost:6058.63
times:904,currentCost:5701.43
times:905,currentCost:5447.34
times:906,currentCost:5489.71
times:907,currentCost:5840.74
times:908,currentCost:5272.98
times:909,currentCost:5461.43
times:910,currentCost:5593.06
times:911,currentCost:6196.38
times:912,currentCost:5535.77
times:913,currentCost:5719.34
times:914,currentCost:5480.39
times:915,currentCost:6064.23
times:916,currentCost:5460.82
times:917,currentCost:6299.16
times:918,currentCost:5116.83
times:919,currentCost:5597.17
times:920,currentCost:6223.43
times:921,currentCost:5950.53
times:922,currentCost:5576.41
times:923,currentCost:5833.72
times:924,currentCost:6212.5
times:925,currentCost:5802.61
times:926,currentCost:5413.49
times:927,currentCost:5299.93
times:928,currentCost:6254.43
times:929,currentCost:5232.88
times:930,currentCost:5431.73
times:931,currentCost:5858.5
